"","area","bordering_language_richness","L1_pop","bordering_language_richness_perkm","bordering_language_evenness","roughness","altitude_range","islands11km","small_family","isolate_or_mono","vehicularity","BIC","delta","reLL","weights","model_id","Nparam"
"1110","X"," "," "," "," "," ","X"," "," ","X","X",816.688361144896,46.5162428368251,7.92731669526289e-11,2.23835316153885e-11,347,4
"1111","X","X","X","X","X"," "," "," ","X"," ","X",816.697311574031,46.52519326596,7.89191951616987e-11,2.22835843182409e-11,1499,7
"1112"," "," ","X"," "," "," ","X","X"," ","X"," ",816.712025723216,46.5399074151449,7.83407113397078e-11,2.21202439167371e-11,483,4
"1113"," "," ","X","X"," "," ","X","X","X"," "," ",816.727099825595,46.5549815175239,7.77524729641682e-11,2.19541492243912e-11,923,5
"1114","X","X","X","X","X","X"," "," ","X"," "," ",816.779623071947,46.6075047638761,7.57371455280755e-11,2.13851023814905e-11,1488,7
"1115"," "," ","X"," ","X","X"," "," ","X"," ","X",816.782380732016,46.6102624239452,7.56327888386943e-11,2.13556362790773e-11,941,5
"1116","X","X"," ","X","X","X","X"," ","X"," "," ",816.790308580021,46.6181902719499,7.53335796247274e-11,2.12711517156632e-11,1557,7
"1117","X"," "," "," ","X","X"," "," ","X"," ","X",816.798106362263,46.6259880541918,7.50404340427218e-11,2.1188379276325e-11,745,5
"1118"," "," ","X","X"," "," ","X"," ","X"," ","X",816.810610672663,46.6384923645924,7.4572733195445e-11,2.10563194999341e-11,927,5
"1119","X"," "," "," ","X","X","X","X"," ","X"," ",816.836068190012,46.6639498819414,7.3629530505486e-11,2.07899972620067e-11,1256,6
"1120","X"," "," ","X","X","X"," "," ","X"," ","X",816.899244958035,46.7271266499636,7.13400435898962e-11,2.01435388861385e-11,1228,6
"1121","X"," ","X","X"," "," "," "," ","X"," ","X",816.919042244922,46.7469239368513,7.06373574923024e-11,1.9945128792461e-11,665,5
"1122"," ","X"," ","X","X","X"," ","X"," ","X","X",816.966985516224,46.7948672081532,6.89641987916621e-11,1.94726965418897e-11,1760,7
"1123","X","X"," ","X","X"," ","X"," ","X"," ","X",816.971995512343,46.7998772042722,6.87916598026526e-11,1.94239785195898e-11,1570,7
"1124"," "," ","X"," ","X"," "," ","X","X"," ","X",816.991699374331,46.8195810662604,6.81172566587443e-11,1.92335543865132e-11,950,5
"1125","X"," ","X","X"," "," "," ","X","X"," "," ",817.041981253383,46.8698629453124,6.64260728804516e-11,1.87560325840669e-11,661,5
"1126","X"," "," "," ","X"," "," ","X","X"," ","X",817.057606704114,46.8854883960435,6.59091262265207e-11,1.86100677864369e-11,754,5
"1127","X"," ","X","X"," ","X"," "," ","X"," "," ",817.102430930047,46.9303126219766,6.44483936395435e-11,1.81976160666542e-11,654,5
"1128"," "," "," "," ","X","X"," ","X","X"," ","X",817.112728675512,46.9406103674414,6.41174098907058e-11,1.81041596615289e-11,1010,5
"1129"," ","X","X","X","X","X","X"," ","X"," "," ",817.153308590226,46.9811902821549,6.28295795704558e-11,1.77405285389601e-11,1697,7
"1130"," ","X"," "," "," "," "," "," "," "," "," ",817.183328239803,47.0112099317325,6.18935609009444e-11,1.7476234777439e-11,2,1
"1131","X"," "," "," ","X","X"," ","X","X"," "," ",817.197874044194,47.0257557361235,6.14450480580104e-11,1.73495929163194e-11,741,5
"1132","X"," "," ","X"," "," "," ","X"," ","X","X",817.242495850321,47.0703775422497,6.00893333927495e-11,1.696679400418e-11,735,5
"1133","X"," "," ","X"," ","X"," "," "," ","X","X",817.269242603542,47.0971242954707,5.9291085637937e-11,1.67414011689545e-11,726,5
"1134","X"," ","X"," ","X"," ","X","X"," ","X"," ",817.279630329481,47.10751202141,5.89839342055198e-11,1.66546740447268e-11,1196,6
"1135"," "," "," ","X"," ","X","X"," ","X"," ","X",817.284470870503,47.1123525624325,5.88413497450078e-11,1.66144139680525e-11,992,5
"1136"," "," "," "," "," "," ","X","X"," ","X","X",817.318734233126,47.1466159250549,5.78418842005353e-11,1.63322053787758e-11,559,4
"1137"," ","X"," ","X","X","X"," ","X","X"," ","X",817.332994380673,47.160876072602,5.7430934092265e-11,1.62161697125546e-11,1759,7
"1138","X"," ","X"," ","X"," ","X"," "," ","X","X",817.385731531348,47.2136132232768,5.59363537547639e-11,1.57941607589299e-11,1200,6
"1139"," ","X","X","X","X","X"," "," "," ","X","X",817.386929528144,47.2148112200733,5.59028580014115e-11,1.57847029148325e-11,1705,7
"1140"," ","X","X"," ","X","X"," "," ","X"," ","X",817.400063737979,47.227945429908,5.55369408908359e-11,1.5681382743228e-11,1319,6
"1141"," "," ","X","X"," "," "," ","X","X"," ","X",817.433767208017,47.2616488999457,5.46088886864283e-11,1.54193383887934e-11,930,5
"1142","X"," "," "," "," "," ","X","X"," ","X"," ",817.45155849153,47.2794401834589,5.4125261850697e-11,1.52827817582994e-11,343,4
"1143","X"," "," ","X","X","X"," ","X","X"," "," ",817.467324795482,47.2952064874115,5.37002615576549e-11,1.5162778888961e-11,1224,6
"1144"," "," ","X","X"," ","X"," ","X","X"," "," ",817.506470889162,47.3343525810908,5.26594034348263e-11,1.48688827120441e-11,917,5
"1145"," "," ","X","X"," ","X"," "," ","X"," ","X",817.50800628033,47.3358879722591,5.26189925569559e-11,1.48574723168601e-11,921,5
"1146"," "," "," ","X"," ","X"," ","X"," ","X","X",817.550849585927,47.3787312778562,5.15037941102866e-11,1.4542585443432e-11,996,5
"1147","X"," "," ","X"," "," ","X","X"," ","X"," ",817.570925229342,47.3988069212714,5.09893942539097e-11,1.43973397582805e-11,728,5
"1148"," "," "," "," ","X"," "," "," "," "," "," ",817.657917719323,47.4857994112524,4.88190892878729e-11,1.37845335378434e-11,5,1
